# PicoScope Waveform
# Sampling Rate (Hz),9708
# X Axis Min,1500.0
# X Axis Max,9500.0
# Y Axis Min,0.0
# Y Axis Max,3.31

Sample,Voltage (V)
806,1.8647619047619046
807,1.8647619047619046
808,1.8663736263736261
809,1.8663736263736261
810,1.8655677655677656
811,1.8671794871794871
812,1.8679853479853479
813,1.8679853479853479
814,1.8679853479853479
815,1.8695970695970696
816,1.8695970695970696
817,1.8695970695970696
818,1.8704029304029302
819,1.8712087912087911
820,1.872014652014652
821,1.872014652014652
822,1.8728205128205129
823,1.8728205128205129
824,1.8752380952380951
825,1.8752380952380951
826,1.8744322344322342
827,1.876043956043956
828,1.876043956043956
829,1.8768498168498169
830,1.8768498168498169
831,1.8784615384615382
832,1.8792673992673992
833,1.8792673992673992
834,1.8784615384615382
835,1.88007326007326
836,1.88007326007326
837,1.88007326007326
838,1.88007326007326
839,1.880879120879121
840,1.8824908424908424
841,1.8824908424908424
842,1.8824908424908424
843,1.8832967032967032
844,1.8832967032967032
845,1.884908424908425
846,1.884908424908425
847,1.8857142857142857
848,1.8857142857142857
849,1.8857142857142857
850,1.8857142857142857
851,1.8873260073260072
852,1.888131868131868
853,1.888937728937729
854,1.888937728937729
855,1.8897435897435897
856,1.8913553113553112
857,1.8913553113553112
858,1.892161172161172
859,1.892161172161172
860,1.892967032967033
861,1.892967032967033
862,1.8937728937728937
863,1.8937728937728937
864,1.8945787545787545
865,1.8953846153846152
866,1.8961904761904762
867,1.8961904761904762
868,1.8961904761904762
869,1.896996336996337
870,1.896996336996337
871,1.8978021978021977
872,1.8986080586080585
873,1.8994139194139192
874,1.901025641025641
875,1.9002197802197802
876,1.9018315018315017
877,1.9018315018315017
878,1.9026373626373625
879,1.9026373626373625
880,1.9034432234432233
881,1.9034432234432233
882,1.9034432234432233
883,1.905054945054945
884,1.905054945054945
885,1.9058608058608058
886,1.905054945054945
887,1.9066666666666665
888,1.9066666666666665
889,1.9074725274725273
890,1.9082783882783882
891,1.909084249084249
892,1.90989010989011
893,1.90989010989011
894,1.9106959706959705
895,1.9123076923076923
896,1.913113553113553
897,1.913113553113553
898,1.9147252747252745
899,1.9147252747252745
900,1.9155311355311353
901,1.9155311355311353
902,1.9163369963369963
903,1.917142857142857
904,1.917142857142857
905,1.9187545787545786
906,1.9187545787545786
907,1.9195604395604395
908,1.9195604395604395
909,1.9203663003663003
910,1.921172161172161
911,1.921172161172161
912,1.921978021978022
